MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366997410,2024-12-31T00:33:43,30.32063,-87.33236,0.0,272.5,511,WILTON LEBOEUF,,WDC2763,31.0,0.0,16.0,6.0,2.1,31.0,A
367312440,2024-12-31T03:32:39,33.72248,-118.07296,0.0,0.0,511,LEVITTY,,WDJ7789,37.0,,15.0,4.0,,,B
367506240,2024-12-31T00:34:21,45.60766,-122.68398,0.0,253.2,122,MARINER,,WDF9543,52.0,5.0,20.0,8.0,3.8,52.0,A
368315850,2024-12-31T01:53:34,47.39327,-122.46358,0.4,283.5,511,SEA LARK,IMO0000000,WDN8256,37.0,,17.0,5.0,,,B
367583480,2024-12-31T02:09:35,29.70471,-95.04564,0.0,111.6,206,MARY ROBERTS,IMO1225574,WDG9020,31.0,0.0,119.0,34.0,2.9,57.0,A
345030087,2024-12-31T02:58:48,20.99752,-97.18891,4.8,300.1,292,JAGUAROUNDI,IMO9642904,XCUV3,80.0,0.0,183.0,32.0,10.4,80.0,A
367774430,2024-12-31T02:30:39,29.77412,-95.10168,0.0,360.0,511,ROBIN LANETTE,,WDJ4101,31.0,0.0,17.0,6.0,0.0,31.0,A
367606860,2024-12-31T00:31:07,30.015,-93.99206,0.0,277.1,185,HAYLEY MORAN,IMO9717321,WDH3383,52.0,0.0,29.0,12.0,2.2,52.0,A
367513190,2024-12-31T03:01:10,45.64343,-122.75256,0.0,237.9,511,PORTLAND,IMO8118035,WDG2201,52.0,0.0,27.0,10.0,3.8,52.0,A
368393340,2024-12-31T03:25:26,39.88051,-75.19978,0.0,333.3,511,LMC BARGE 8,IMO0000000,WDP8764,33.0,,0.0,0.0,,,B
368222260,2024-12-31T00:08:29,29.67325,-94.93048,9.0,31.6,28,DELTA RUSH,,WDM6110,60.0,15.0,15.0,4.0,0.0,90.0,A
368326650,2024-12-31T00:43:28,46.19991,-123.76139,0.0,360.0,511,JACK JACK,,WDN9398,52.0,5.0,14.0,6.0,2.3,52.0,A
3791472,2024-12-31T02:09:15,26.13179,-92.04052,0.1,319.6,1,LUCIUS SPAR,IMO1108561,WQXP40,80.0,15.0,0.0,0.0,0.0,80.0,A
367710950,2024-12-31T00:05:17,47.39816,-122.33045,0.0,360.0,511,HALAYAH RHEA,IMO0000000,WDL8185,36.0,,15.0,10.0,,,B
367551860,2024-12-31T01:17:41,42.61515,-70.65381,0.0,360.0,511,JOCKA,IMO8885573,WDG5937,30.0,4.0,19.0,5.0,0.0,99.0,A
368574000,2024-12-31T00:55:32,30.20736,-91.04651,0.0,283.6,289,TUNA HELPER,,WDF4304,37.0,12.0,14.0,5.0,2.8,57.0,A
538007660,2024-12-31T03:21:08,29.94683,-90.3862,10.2,126.2,126,ADVENTURER,IMO9577898,V7ZF4,30.0,0.0,180.0,28.0,10.5,70.0,A
310791000,2024-12-31T01:27:46,26.06116,-78.36226,19.8,104.2,104,ENCHANTED PRINCESS,IMO9807126,ZCEW2,60.0,0.0,330.0,44.0,8.6,60.0,A
